1,2,-5.8804,-6.4862,0.3029
1,3,-6.2223,-7.3071,0.5424
1,15,-6.2442,-7.3295,0.54265
1,16,-6.2979,-6.3982,0.05015
1,28,-6.2071,-6.9819,0.3874
1,29,-5.9385,-6.4778,0.26965
1,246,-6.2242,-7.3107,0.54325
1,247,-6.2862,-7.3712,0.5425
1,248,-6.2328,-7.3201,0.54365
1,265,-6.2455,-7.3287,0.5416
1,266,-6.3428,-7.1608,0.409
1,267,-6.235,-7.3205,0.54275
1,355,-6.2477,-6.6014,0.17685
1,356,-6.2501,-7.3352,0.54255
1,357,-6.2109,-7.1725,0.4808
1,358,-6.2442,-6.8059,0.28085
1,366,-5.2773,-6.2127,0.4677
1,571,-6.2508,-6.695,0.2221
1,572,-6.2478,-6.6933,0.22275
1,573,-6.2239,-7.3101,0.5431
1,575,-6.2347,-7.3206,0.54295
1,915,-6.2334,-6.8298,0.2982
1,916,-6.1976,-6.212,0.0072
1,937,-6.1978,-6.5653,0.18375
1,938,-6.3259,-7.4102,0.54215
1,939,-6.2253,-7.3099,0.5423
2,3,-6.5485,-7.6431,0.5473
2,4,-7.0762,-7.4837,0.20375
2,15,-7.5003,-8.5699,0.5348
2,16,-6.5129,-7.0204,0.25375
2,21,-7.5084,-8.4802,0.4859
2,22,-7.5135,-8.6805,0.5835
2,23,-7.5041,-8.6237,0.5598
2,28,-6.9812,-7.498,0.2584
2,29,-5.9268,-7.0156,0.5444
2,31,-6.3884,-7.543,0.5773
2,32,-7.5133,-7.5556,0.02115
2,50,-6.7661,-7.5036,0.36875
2,51,-6.1616,-6.5209,0.17965
2,231,-5.601,-6.4181,0.40855
2,245,-6.928,-7.4963,0.28415
2,246,-7.52,-8.3666,0.4233
2,247,-7.4997,-7.6519,0.0761
2,248,-7.5168,-7.9045,0.19385
2,265,-7.4792,-8.1199,0.32035
2,266,-7.2332,-7.6364,0.2016
2,267,-7.5056,-8.3984,0.4464
2,269,-6.3959,-6.9099,0.257
2,916,-6.2002,-6.8039,0.30185
3,4,-6.1491,-7.5395,0.6952
3,5,-6.7963,-7.761,0.48235
3,15,-8.1117,-8.4812,0.18475
3,16,-6.4348,-6.9227,0.24395
3,21,-8.0822,-8.4097,0.16375
3,22,-8.1253,-8.5922,0.23345
3,23,-8.1556,-8.5598,0.2021
3,29,-5.954,-7.0426,0.5443
3,50,-6.7504,-7.9954,0.6225
3,51,-6.1289,-6.4828,0.17695
3,231,-5.6244,-6.4329,0.40425
3,232,-6.6375,-7.1586,0.26055
3,242,-8.1114,-8.816,0.3523
3,243,-6.1619,-7.2888,0.56345
3,245,-6.9632,-8.0908,0.5638
3,246,-8.1157,-8.437,0.16065
3,247,-7.645,-8.1114,0.2332
3,266,-7.1989,-8.1002,0.45065
3,267,-8.1305,-8.3443,0.1069
3,268,-7.4027,-8.014,0.30565
3,269,-6.4242,-6.9282,0.252
4,5,-6.2086,-6.8597,0.32555
4,14,-6.8718,-7.0517,0.08995
4,15,-7.1314,-8.3447,0.60665
4,16,-6.4563,-6.9487,0.2462
4,21,-7.0468,-8.2567,0.60495
4,22,-7.0689,-8.2775,0.6043
4,23,-7.194,-8.4092,0.6076
4,24,-7.0445,-7.4437,0.1996
4,37,-7.0855,-8.2955,0.605
4,38,-7.1405,-8.3519,0.6057
4,242,-7.0708,-8.2811,0.60515
4,243,-6.1767,-7.0405,0.4319
4,244,-7.0586,-8.269,0.6052
4,245,-6.978,-7.0955,0.05875
4,246,-7.0576,-8.2678,0.6051
4,247,-7.1007,-7.6971,0.2982
4,248,-7.0953,-7.945,0.42485
4,249,-6.4748,-7.0424,0.2838
4,250,-6.1493,-7.0679,0.4593
4,261,-6.735,-7.0981,0.18155
4,266,-7.0386,-7.2893,0.12535
4,267,-7.1074,-8.3182,0.6054
4,268,-6.9788,-7.5219,0.27155
4,269,-6.4095,-6.9169,0.2537
4,272,-6.6278,-7.0624,0.2173
4,273,-7.0754,-7.802,0.3633
4,274,-7.1265,-8.3362,0.60485
4,449,-6.9297,-7.1347,0.1025
5,6,-6.1138,-7.3036,0.5949
5,7,-6.8314,-7.7992,0.4839
5,14,-6.7711,-6.997,0.11295
5,15,-6.8443,-7.8117,0.4837
5,16,-6.5132,-6.7207,0.10375
5,18,-6.3818,-6.8604,0.2393
5,19,-6.7425,-7.7215,0.4895
5,20,-6.8526,-7.8141,0.48075
5,21,-6.8005,-7.7621,0.4808
